chr	start	end	Cluster	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DE	WTrpkm
1	8	1045	merged_1_8	66.0790635856528	0.585833537991627	0.671901129038626	0.87190438097619	0.383260543508611	0.663951337402625	ClusterNone	12.0733333333333
1	17806	18807	merged_1_17806	48.7072773442023	0.308414506661934	0.616947873240906	0.499903671021334	0.617142907272052	0.807076215604718	ClusterNone	8.59333333333333
1	44557	44996	merged_1_44557	270.957016721169	0.771974233388252	0.66444199014385	1.16183842207372	0.245301103803438	0.540155034396304	ClusterNone	95.68
1	55659	56713	merged_1_55659	61.6149150581766	0.403108939221226	0.63816900895308	0.631664862388929	0.527605892999143	0.753997420975912	ClusterNone	9.83333333333333
1	76658	77598	merged_1_76658	280.838549200109	0.156807684506973	0.644484069518248	0.243307308781405	0.80776734290381	0.913449185803927	ClusterNone	56.0033333333333
1	193358	193658	merged_1_193358	4.39068197488594	1.46351735876119	0.966385381729983	1.51442414840885	0.129918298404345	0.371987798861214	ClusterNone	1.36
1	213478	213890	merged_1_213478	7.97984697656248	2.27955087891058	0.75540592766899	3.01765023997727	0.00254742731888593	0.0167145852327916	ClusterNone	2.37333333333333
1	238166	239487	merged_1_238166	160.430335371621	0.287574759929691	0.464652295971668	0.618903129120072	0.535980177000986	0.758631635738536	ClusterNone	14.4433333333333
1	255752	256287	merged_1_255752	18.068718125861	0.381693991193215	0.645051548438808	0.591726338952311	0.554033856094635	0.77215037311595	ClusterNone	2.21666666666667
1	257691	258756	merged_1_257691	200.579213457223	0.279191906271059	0.556079238062498	0.502072163751023	0.615616760078208	0.806318398441415	ClusterNone	20.7166666666667
1	291782	292768	merged_1_291782	1054.74911209725	-2.03658696699847	0.46225957741326	-4.40572151775615	1.05432344475678e-05	0.00011903918893288	ClusterDown	151.173333333333
1	372379	372754	merged_1_372379	71.4348045954691	1.07661227659959	0.820035286823043	1.31288530371732	0.189221599730326	0.46745378172298	ClusterNone	34.3266666666667
1	423074	423366	merged_1_423074	17.2399364879191	0.255721355881975	0.674779784240451	0.378970090471548	0.70471007447118	0.860536396147848	ClusterNone	11.96
1	423467	424334	merged_1_423467	46.5046570683491	0.664804511891186	0.701914607497203	0.947130184769427	0.343572445288508	0.636432909031927	ClusterNone	9.05666666666667
1	431148	434116	merged_1_431148	382.466985912842	0.111256315377582	0.515227697924537	0.215936208060533	0.829037472890747	0.922235393534246	ClusterNone	16.8266666666667
1	446430	447514	merged_1_446430	14.9598773103624	3.51569902832112	0.925858347879154	3.79723208887673	0.000146320781403491	0.00131658177369942	ClusterUp	1.67
1	447775	448451	merged_1_447775	0.286269473891698	0	4.29522333967835	0	1	1	ClusterNone	0
1	499388	499694	merged_1_499388	22.2754684691994	0.927982358417118	0.782150775567052	1.18644945118713	0.235444852633544	0.530575609474064	ClusterNone	12.6833333333333
1	499883	500258	merged_1_499883	17.8427626074035	0.0493950957879816	0.772491789735912	0.0639425511627355	0.949015970654528	0.98031929418294	ClusterNone	6.04
1	500346	500723	merged_1_500346	43.0472550694979	0.456241117371612	0.657205233330697	0.694214066220068	0.487547972608836	0.732045229735569	ClusterNone	13.52
1	512587	513213	merged_1_512587	116.427913946428	0.684125323881657	0.588708250208644	1.16207870985195	0.245203494571872	0.540123938758163	ClusterNone	32.81
1	540395	541104	merged_1_540395	72.3855612592111	0.253311740453677	0.613448343601865	0.412930841032769	0.679657284352549	0.84607327325742	ClusterNone	21.2633333333333
1	549461	550924	merged_1_549461	44.9605782095211	0.517749371344093	0.763467441339272	0.678155142327822	0.497673330976138	0.737736518415966	ClusterNone	6.12333333333333
1	599472	599675	merged_1_599472	9.24740751268634	1.7756366589399	0.784466936070461	2.26349458121765	0.0236052182716214	0.105757589756409	ClusterNone	7.62666666666667
1	612535	612826	merged_1_612535	19.8487138063109	4.33163520441816	0.710589102120507	6.09583680849016	1.08866432198152e-09	2.30921764952768e-08	ClusterUp	4.29
1	634072	634575	merged_1_634072	97.0891246140075	0.527827011402253	0.719705210655386	0.733393344368867	0.463318557394467	0.71767287216183	ClusterNone	41.56
1	639728	639795	merged_1_639728	8.31904983778118	1.1013091517169	0.748907224198215	1.47055485129813	0.141411541483915	0.392376058811953	ClusterNone	14.63
1	641139	641203	merged_1_641139	18.3226770509158	1.00286799407873	0.601600711183864	1.66699934929469	0.0955145342613745	0.302240782295898	ClusterNone	45.7066666666667
1	670532	670980	merged_1_670532	1618.34133575623	-4.7361184829987	0.563169682046763	-8.40975399418862	4.1087156333694e-17	2.47268239907752e-15	ClusterDown	755.26
1	696465	696836	merged_1_696465	149.235621036609	0.0295302098611459	0.638904224901785	0.0462200885675555	0.963134831222463	0.98771511303697	ClusterNone	70.0766666666667
1	697291	697520	merged_1_697291	13.0787682831163	3.38835108327637	0.711448414627813	4.76260964760032	1.91105296389415e-06	2.42898961687882e-05	ClusterUp	3.81666666666667
1	758510	758860	merged_1_758510	9.778961145886	0.541543631875796	0.673796184374999	0.803720241274625	0.421558561515081	0.690031854895636	ClusterNone	5.54666666666667
1	758989	759243	merged_1_758989	19.7394084399024	0.774763141550642	0.702126444599199	1.10345244437119	0.269830732542743	0.567052111153248	ClusterNone	13.5666666666667
1	759787	760525	merged_1_759787	18.69403128693	0.11750855102133	0.723075396590653	0.162512168959682	0.870902546212525	0.942900848920079	ClusterNone	3.99333333333333
1	780988	781205	merged_1_780988	44.5321099309147	1.58977118740241	0.761208799590646	2.08848240884411	0.0367543405968455	0.149441420183259	ClusterNone	31.46
1	781349	782265	merged_1_781349	43.7322730667525	0.849253470135176	0.662167555908852	1.28253560984205	0.199654821488891	0.483589242838779	ClusterNone	7.84333333333333
1	789347	789833	merged_1_789347	64.0424689401186	3.26507326483124	0.761324839954588	4.28867297305838	1.79743791453204e-05	0.000193004557478258	ClusterUp	10.5466666666667
1	792105	792552	merged_1_792105	105.560465687321	0.996010977981416	0.833821451040491	1.19451349775007	0.232277163972776	0.525885253655949	ClusterNone	41.6166666666667
1	822237	822419	merged_1_822237	34.7759713195058	0.712955921400665	0.775243413795308	0.919654277242155	0.35775345320114	0.646068559438058	ClusterNone	37.0566666666667
1	888698	889310	merged_1_888698	38.5603794961346	0.627772303130883	0.624096060989857	1.00589050687998	0.314468243296805	0.612360200050398	ClusterNone	10.96
